Frame,Time (s),Red,Green,Blue,Greyscale
93,0.186,15.04211521,9.768384933,4.881250381,10.78384781
94,0.188,15.0348177,9.759943008,4.875079155,10.7761097
95,0.19,15.03449154,9.754974365,4.873355865,10.77272892
96,0.192,15.02911377,9.747322083,4.885849953,10.76820946
97,0.194,15.02927017,9.732420921,4.890395164,10.75978851
98,0.196,15.02906704,9.731579781,4.888554573,10.7590456
99,0.198,15.02149582,9.739578247,4.867222786,10.75884438
100,0.2,15.06879139,9.757575035,4.860169411,10.78309822
101,0.202,15.11235619,9.783568382,4.834667206,10.80812073
102,0.204,15.17129326,9.820531845,4.815831184,10.84544182
103,0.206,15.22273827,9.867304802,4.777202606,10.88413715
104,0.208,15.27618313,9.913767815,4.755272865,10.92475128
105,0.21,15.31274033,9.941708565,4.743185997,10.95084381
106,0.212,15.34742165,9.963125229,4.726688385,10.97139359
107,0.214,15.40665531,9.987477303,4.732431412,11.00404072
108,0.216,15.43849564,9.993400574,4.735003471,11.01781845
109,0.218,15.46857071,9.99126339,4.72917366,11.02467537
110,0.22,15.48827934,9.983963013,4.725743294,11.02589321
111,0.222,15.53006935,9.975149155,4.725745201,11.03329086
112,0.224,15.53773785,9.973485947,4.741789818,11.03644562
113,0.226,15.52836132,9.961539268,4.729640961,11.0252285
114,0.228,15.53366184,9.966029167,4.739544868,11.03066254
115,0.23,15.54768467,9.957560539,4.73179245,11.02929974
116,0.232,15.54320431,9.936504364,4.739505768,11.01634884
117,0.234,15.52589607,9.916543007,4.757850647,11.00137424
118,0.236,15.50386715,9.899821281,4.774486542,10.9870472
119,0.238,15.49610043,9.878073692,4.772994995,10.97161674
120,0.24,15.43796062,9.82630825,4.740873337,10.91967297
121,0.242,15.41780472,9.800235748,4.748695374,10.89967251
122,0.244,15.39647675,9.778565407,4.743621826,10.88007355
123,0.246,15.38484573,9.754434586,4.72431469,10.86017513
124,0.248,15.36725807,9.730892181,4.713383675,10.83963394
125,0.25,15.35431385,9.699760437,4.708146095,10.81672192
126,0.252,15.34287739,9.685835838,4.713424683,10.80603504
127,0.254,15.32384014,9.664876938,4.696233749,10.78599548
128,0.256,15.3025074,9.645220757,4.700974464,10.76887989
129,0.258,15.26986599,9.617499352,4.694867134,10.74221039
130,0.26,15.24562645,9.574944496,4.700081825,10.71058369
131,0.262,15.21034527,9.544326782,4.706952095,10.68261337
132,0.264,15.19142628,9.52359581,4.704684258,10.66477776
133,0.266,15.15293503,9.508493423,4.710167885,10.64492702
134,0.268,15.13801289,9.499378204,4.700683594,10.63382339
135,0.27,15.11851025,9.508777618,4.71830368,10.63580132
136,0.272,15.11447334,9.526837349,4.719244003,10.64509201
137,0.274,15.09307671,9.528471947,4.702715874,10.63790512
138,0.276,15.08186913,9.533005714,4.694553375,10.63639641
139,0.278,15.07664967,9.534204483,4.701467514,10.63630104
